ID,pop,pop2,DBH,sNMF_V1,sNMF_V2,sNMF_V3,sNMF_V4,sNMF_V5,Grafted?,2spec_struc_oc_prop,2spec_struc_swo_prop,2spec_snmf_oc_prop,2spec_snmf_swo_prop
sample_132,CORE-MI1,CORE,6,0.00211233,1.00E-04,1.00E-04,0.989272,0.00841537,,0.001,0.999,0.0006008,0.999399
sample_133,CORE-MI1,CORE,14,0.00668522,1.00E-04,0.00172047,0.991394,1.00E-04,,0.001,0.999,0.0001,0.9999
sample_134,CORE-MI1,CORE,17,0.00834723,1.00E-04,1.00E-04,0.988911,0.00254203,,0.001,0.999,0.0001,0.9999
sample_135,CORE-OH2,CORE,8,0.0228758,0.00815322,1.00E-04,0.968771,1.00E-04,,0.003,0.997,0.0001,0.9999
sample_136,CORE-OH2,CORE,19,0.022499,1.00E-04,0.00213402,0.964843,0.0104237,,0.005,0.995,0.0001,0.9999
sample_137,CORE-OH2,CORE,14,0.0282298,1.00E-04,1.00E-04,0.971103,0.000466898,,0.004,0.996,0.0001,0.9999
sample_138,CORE-OH2,CORE,13,0.0210487,1.00E-04,0.00338417,0.974649,0.000818524,,0.004,0.996,0.0001,0.9999
sample_139,CORE-OH2,CORE,14,0.0380425,0.0062696,1.00E-04,0.955488,1.00E-04,,0.01,0.99,0.0057316,0.994268
sample_140,CORE-OH2,CORE,16,0.0200374,0.0239858,1.00E-04,0.955777,1.00E-04,,0.008,0.992,0.0001,0.9999
sample_141,CORE-OH2,CORE,9,0.0120808,0.00124583,0.000797987,0.985533,0.000342509,,0.014,0.986,0.0001,0.9999
sample_142,CORE-OH2,CORE,5,0.0403333,1.00E-04,1.00E-04,0.959367,1.00E-04,,0.002,0.998,0.0001,0.9999
SRR5284372_qual_MI,Ref. Sample-Q. alba,Ref. Sample-Q. alba,NA,0.0539506,0.00436352,0.848652,0.0112636,0.0817706,,0.029,0.971,0.0088904,0.99111
SRR5284374_qual_NC,Ref. Sample-Q. alba,Ref. Sample-Q. alba,NA,0.0771888,0.0372883,0.756041,0.0427486,0.0867332,,0.029,0.971,0.0342407,0.965759
SRR5284375_qual_MN,Ref. Sample-Q. alba,Ref. Sample-Q. alba,NA,0.0775964,0.00501523,0.843764,0.0104666,0.0631582,,0.041,0.959,0.0380053,0.961995
SRR5284368_qubi_IL,Ref. Sample-Q. bicolor,Ref. Sample-Q. bicolor,NA,0.0146874,0.00521422,0.00712309,0.965621,0.007354,,0.891,0.109,0.9999,1.00E-04
SRR5284369_qubi_IL,Ref. Sample-Q. bicolor,Ref. Sample-Q. bicolor,NA,0.0289455,1.00E-04,0.0154313,0.955423,1.00E-04,,0.826,0.174,0.9999,1.00E-04
SRR5632514_qubi_NY,Ref. Sample-Q. bicolor,Ref. Sample-Q. bicolor,NA,0.091887,0.0309101,1.00E-04,0.875996,0.00110652,,0.712,0.288,0.9999,1.00E-04
SRR5284357_quly_GA,Ref. Sample-Q. lyrata,Ref. Sample-Q. lyrata,NA,0.00871273,0.953151,0.0227407,1.00E-04,0.0152959,,0.773,0.227,0.801274,0.198726
SRR5284358_quly_MO,Ref. Sample-Q. lyrata,Ref. Sample-Q. lyrata,NA,0.013624,0.944277,0.0212836,1.00E-04,0.0207152,,,,,
SRR5632442_quly_IL,Ref. Sample-Q. lyrata,Ref. Sample-Q. lyrata,NA,0.000442752,0.978808,0.0130591,1.00E-04,0.00758978,,,,,
SRR5632580_quly_NC,Ref. Sample-Q. lyrata,Ref. Sample-Q. lyrata,NA,0.0283871,0.750088,0.0233898,0.160253,0.0378828,,,,,
SRR5284353_quma_NM,Ref. Sample-Q. macrocarpa,Ref. Sample-Q. macrocarpa,NA,0.9996,1.00E-04,1.00E-04,1.00E-04,1.00E-04,,,,,
SRR5284354_quma_QUEBEC,Ref. Sample-Q. macrocarpa,Ref. Sample-Q. macrocarpa,NA,0.87939,0.0203645,1.00E-04,0.0872875,0.0128575,,,,,
SRR5284355_quma_IL,Ref. Sample-Q. macrocarpa,Ref. Sample-Q. macrocarpa,NA,0.971185,1.00E-04,0.0167353,1.00E-04,0.0118794,,,,,
SRR5284356_quma_MO,Ref. Sample-Q. macrocarpa,Ref. Sample-Q. macrocarpa,NA,0.940136,0.00618038,0.00641053,0.0420102,0.00526298,,,,,
SRR5632360_quma_ND,Ref. Sample-Q. macrocarpa,Ref. Sample-Q. macrocarpa,NA,0.976629,1.00E-04,0.0132437,1.00E-04,0.00992747,,,,,
SRR5632409_quma_KS,Ref. Sample-Q. macrocarpa,Ref. Sample-Q. macrocarpa,NA,0.9996,1.00E-04,1.00E-04,1.00E-04,1.00E-04,,,,,
SRR5284342_qumo_NC,Ref. Sample-Q. montana,Ref. Sample-Q. montana,NA,1.00E-04,1.00E-04,0.9996,1.00E-04,1.00E-04,,,,,
SRR5284343_qumo_VA,Ref. Sample-Q. montana,Ref. Sample-Q. montana,NA,1.00E-04,1.00E-04,0.971872,0.0278277,1.00E-04,,,,,
SRR5284344_qumo_VA,Ref. Sample-Q. montana,Ref. Sample-Q. montana,NA,1.00E-04,1.00E-04,0.9996,1.00E-04,1.00E-04,,,,,
SRR5632531_qumo_NC,Ref. Sample-Q. montana,Ref. Sample-Q. montana,NA,1.00E-04,0.016439,0.847569,1.00E-04,0.135792,,,,,
SRR5284339_qumu_TX,Ref. Sample-Q. muehlenbergii,Ref. Sample-Q. muehlenbergii,NA,0.0657401,1.00E-04,0.0145571,1.00E-04,0.919503,,,,,
SRR5284340_qumu_OK,Ref. Sample-Q. muehlenbergii,Ref. Sample-Q. muehlenbergii,NA,0.0364819,1.00E-04,1.00E-04,1.00E-04,0.963218,,,,,
SRR5284341_qumu_IL,Ref. Sample-Q. muehlenbergii,Ref. Sample-Q. muehlenbergii,NA,0.0336958,1.00E-04,1.00E-04,1.00E-04,0.966004,,,,,
SRR5632461_qumu_IL,Ref. Sample-Q. muehlenbergii,Ref. Sample-Q. muehlenbergii,NA,0.00796134,1.00E-04,1.00E-04,1.00E-04,0.991739,,,,,
SRR5632513_qust_NC,Ref. Sample-Q. stellata,Ref. Sample-Q. stellata,NA,1.00E-04,0.0473407,0.0597048,1.00E-04,0.892755,,,,,
SRR5632603_qust_AL,Ref. Sample-Q. stellata,Ref. Sample-Q. stellata,NA,1.00E-04,0.142173,0.0587866,0.0230124,0.775928,,,,,
